  1. ï»¿Age=33_46 NumCompaniesWorked=0_3 OverTime=No 328 ==> Attrition=No 314    conf:(0.96)
  2. ï»¿Age=33_46 Department=Research & Development OverTime=No 336 ==> Attrition=No 317    conf:(0.94)
  3. ï»¿Age=33_46 OverTime=No WorkLifeBalance=3 321 ==> Attrition=No 302    conf:(0.94)
  4. ï»¿Age=33_46 OverTime=No TotalWorkingYears=0_13 336 ==> Attrition=No 316    conf:(0.94)
  5. ï»¿Age=33_46 OverTime=No TotalWorkingYears=0_13 YearsAtCompany=0_13 336 ==> Attrition=No 316    conf:(0.94)
  6. ï»¿Age=33_46 OverTime=No PerformanceRating=3 YearsSinceLastPromotion=0_5 360 ==> Attrition=No 338    conf:(0.94)
  7. ï»¿Age=33_46 MonthlyIncome=min_7339 OverTime=No 353 ==> Attrition=No 331    conf:(0.94)
  8. OverTime=No StockOptionLevel=1 YearsAtCompany=0_13 368 ==> Attrition=No 345    conf:(0.94)
  9. OverTime=No StockOptionLevel=1 429 ==> Attrition=No 402    conf:(0.94)
 10. ï»¿Age=33_46 DistanceFromHome=1_10 OverTime=No 363 ==> Attrition=No 340    conf:(0.94)
 11. ï»¿Age=33_46 OverTime=No PerformanceRating=3 YearsAtCompany=0_13 362 ==> Attrition=No 339    conf:(0.94)
 12. ï»¿Age=33_46 OverTime=No PerformanceRating=3 437 ==> Attrition=No 409    conf:(0.94)
 13. Department=Research & Development OverTime=No WorkLifeBalance=3 YearsAtCompany=0_13 358 ==> Attrition=No 335    conf:(0.94)
 14. ï»¿Age=33_46 OverTime=No YearsSinceLastPromotion=0_5 418 ==> Attrition=No 391    conf:(0.94)
 15. JobLevel=2 MonthlyIncome=min_7339 OverTime=No 356 ==> Attrition=No 333    conf:(0.94)
 16. OverTime=No StockOptionLevel=1 YearsSinceLastPromotion=0_5 356 ==> Attrition=No 333    conf:(0.94)
 17. DistanceFromHome=1_10 JobLevel=2 MonthlyIncome=min_7339 325 ==> Attrition=No 304    conf:(0.94)
 18. ï»¿Age=33_46 MonthlyIncome=min_7339 OverTime=No YearsAtCompany=0_13 325 ==> Attrition=No 304    conf:(0.94)
